left_doc_id,right_doc_id,left_doc_length,left_start,right_start,left_end,right_end,score,left_bill_title,right_bill_title,left,right,label
mn_2009-2010_HF59,mi_2011-2012_HB4901,833,19,986,23,990,12,Environmental Justice Act established.,Environmental protection; other; action plan to address local environmental justice concerns; authorize petition process for. Amends 1994 PA 451 (MCL 324.101 - 324.90106) by adding pt. 12.,for purposes of,for purposes of,0
in_2015_SB4,tn_107_HB1893,33760,557,251,567,260,13.5,A BILL FOR AN ACT to amend the Indiana Code concerning general provisions,"Administrative Procedure (UAPA) - As introduced, requires agencies filing rules with the secretary of state provide a cost-benefit analysis on state and local governments of such rules. - Amends TCA Title 4, Chapter 5, Part 2.",of the surety bond shall be maintained in,"of the amount, - shall be included in",0
in_2015_SB4,ma_187th_S1544,33760,0,291,1,292,13,A BILL FOR AN ACT to amend the Indiana Code concerning general provisions,An Act requiring fiscal responsibility,"in ic 20-33-5-7.5(a), the percentage of the","in writing, to the clerks of the",0
va_2014_HB503,tn_108_SB2628,6723,16,3349,21,3354,28,Charter; Town of Victoria.,"Altamont - As introduced, subject to local approval, rewrites the town charter. - Amends Chapter 664 of the Private Acts of 1917; as amended.",in the name of the town and,in the name of the town and,0
ky_2014RS_HB547,ks_2013-2014_SB367,1121,162,132,170,140,11,AN ACT relating to education rights and privacy. Amend KRS 160.705 to direct the Kentucky Board of Education to require the Department of Education and all school district to adhere to transparency and privacy standards for outsourcing Web-based tasks to vendors; describe required contractual agreement requirements; amend KRS 160.710 and KRS 160.720 to conform.,Creating the student data privacy act.,of the rights of,of the state of,0
va_2014_HB503,ga_2015_16_HB203,6723,9,7848,16,7855,17,Charter; Town of Victoria.,"Bishop, Town of; provide a new charter",the boundaries of the town of victoria is,"the city council, the town of bishop is",0
tn_107_HB3880,wv_2015_HB2291,5316,11,193,13,195,11,"Sumner County - As introduced, subject to local approval, creates the ""Financial Management Modernization System of the County of Sumner, Tennessee of 2012""; repeals Chapter 113 of the Private Acts of 2002, in certain circumstances. -",Enterprise Resource Planning Board to promulgate a legislative rule relating to the enterprise resource planning system user fee,of the county of,of the code of,0
tn_109_SB1295,ny_2013-2014_A10171,2822,6,653,9,656,12,"General Assembly - As introduced, reestablishes the legislative oversight committees on TennCare and on children's services. - Amends TCA Title 3; Title 4 and Title 71.",Establishes occupational injury and disease prevention centers,is amended by,is amended by,0
in_2015_SB4,ca_20132014_SB673,33760,76,29,80,33,12,A BILL FOR AN ACT to amend the Indiana Code concerning general provisions,County employees' retirement: Contra Costa County.,operation of the,operation of the,0
mi_2011-2012_HB4090,ny_2011-2012_A4444,2163,186,107,192,113,24,Human services; medical services; office of medicaid inspector general; create. Creates new act.,Establishes a rewards program for individuals who provide relevant information to the office of the Medicaid inspector general that leads to the detection and conviction of medicaid fraud,the people of the state of,the people of the state of,0
nj_213_A881,ky_2014RS_HB220,6834,6,22,12,28,24,Excludes charges for certain membership and initiation fees and dues from sales and use tax.,"AN ACT relating to taxation. Amend KRS 140.130 to decouple from changes to the federal estate tax since 2003; amend KRS 141.010 to provide for a reduction and phase-out of the pension exclusion, disallow the domestic production activities deduction, establish a cap for itemized deductions, update the Internal Revenue Code reference date, and define ""taxpayer""; amend KRS 141.020 to provide for changes to income tax rates; amend KRS 141.0401 to lower the exclusion threshold; amend KRS 141.120 to change apportionment methods to use a ""throwback"" rule; amend KRS 141.200 to require ""combined"" reporting for corporations; amend KRS 136.310, 136.530, 141.040, 141.121, 141.205, 141.206, and 141.420 to conform; amend KRS 141.066 to provide for a refundable earned income credit; amend KRS 141.0205 to recognize changes in income tax credits; amend KRS 141.383, 148.544, and 148.546 to make the film industry tax credit nonrefundable and nontransferable; create a new section of KRS 6.900 to 6.935 to require review and sunset of all economic development tax credits; amend KRS 131.190 to allow LRC employees to review selected tax documents; amend KRS 138.210 to set the ""floor"" price at $2.616 per gallon; amend KRS 138.220 to reduce dealer compensation to 1%; amend KRS 132.020 to make the real property tax rate 12.2 cents per $100, remove the rate adjustment provision, and remove the recall provision; amend KRS 132.260 to clarify requirements for reporting of rental space for mobile/manufactured homes, private aircraft, and certain boats/vessels; amend KRS 132.730, 132.751, 132.810, and 132.815 to clarify property tax treatment of manufactured homes; amend KRS 140.300 to clarify the treatment of agricultural valuation on inherited property; amend KRS 279.200, 279.530, 279.220, and 139.530 to repeal rural electric and telephone co-op taxes; amend KRS 132.097 and 132.099 to amend the exemption for personal property shipped out of state; amend KRS 139.105, 139.200, 139.220, 139.270, 139.340 and 139.740 to impose sales tax on selected services; amend KRS 243.0305 and 243.990 to recognize changes in the distilled spirits case tax; amend KRS 138.130, 138.140, and 138.143 to change the tax on cigarette rolling papers, to raise the tobacco taxes, to impose a floor stock tax, and to tax e-cigarettes; amend KRS 65.125, 65.674, 67.862, 67.938, 67A.843, 68.245, 68.248, 82.095, 97.590, 132.0225, 132.023, 132.024, 132.027, 132.029, 157.440, 160.470, 160.473, 67C.147, 78.530, and 342.340 to remove the provisions of HB 44 that allow for recall of certain tax rates and make conforming and technical changes; create a new section of KRS 138.510 to 138.550 and amend KRS 138.511, 138.530, and 138.550 to provide for an excise tax on advance deposit wagering; repeal KRS 132.017, 132.018, 132.025, 132.720, 143A.035, and 243.710; provide that income tax provisions apply for tax years beginning on or after January 1, 2015, estate tax provisions apply for deaths occurring on or after August 1, 2014, sales tax provisions are effective for periods beginning on or after October 1, 2014, motor fuels tax provisions are effective August 1, 2014, property tax provisions are for assessments on and after January 1, 2015, and advance deposit wagering provisions apply to licensees beginning August 1, 2014.",is amended to read as follows:,is amended to read as follows:,0
nc_2011_HB445,md_2008_HB1306,505,9,62,17,70,35.5,Prevent REAL ID Implementation.,Vehicle Laws - Federally Compliant Identification Cards - Issuance,comply with the requirements of the - real id act of,comply with the requirements of the federal real id act of,1
ca_20112012_SB1082,ny_2011-2012_A1535,4684,27,573,50,599,240,Protection of victims: address confidentiality.,"Establishes the ""Address Confidentiality Act"" which allows state and local agencies to respond to requests for public records without disclosing the location of certain victims of abuse","and the telephone number or numbers where the - applicant can be called by the secretary of state.(6) - - the - address or addresses that the applicant requests not be - disclosed for the reason that disclosure will increase the risk of acts of violence toward the applicant.(7) - - - the signature of the applicant and of any individual or representative - - of any office designated in writing - - - - - - - - - - who assisted in the preparation of the application, - and the date on which the applicant signed the application.(b) - applications shall be filed with the office of the secretary of","and the telephone number or numbers where the applicant can be contacted by the secretary of state; (d) the new address or addresses that the applicant requests not be disclosed for the reason that disclosure will increase the risk of abuse, sexual assault, or stalking; and (e) the signature of the applicant and of any individual or represen tative of any office designated in writing pursuant to section six hundred nineteen of this article who assisted in the preparation of the application and the date on which the applicant signed the application. . applications shall be filed in the office of the secretary of",1
ms_2015_SB2027,nj_216_A2598,11569,2869,79,2876,86,27,Individual development accounts; authorize for certain low-income individuals.,Revises certain aspects of the New Jersey Individual Development Account Program.*,"as defined in paragraph (d) of this subsection,","as defined in paragraph (3) of this subsection,",0
nj_214_S1033,hi_2014 Regular Session_SB1167,1806,39,176,44,181,12,Clarifies that punitive damages may not be awarded against public entities or public employees acting within the scope of their employment in any action.,"RELATING TO LIMITED LIABILITY FOR MOUNTAIN CLIMBING, ROCK CLIMBING, RAPPELLING, AND BOULDERING ON GOVERNMENT LAND.",no public entity,no public entity,0
nj_214_S1033,ca_20112012_AB1558,1806,47,796,52,801,12,Clarifies that punitive damages may not be awarded against public entities or public employees acting within the scope of their employment in any action.,Liability: flood control and water conservation facilities.,be conducted in,be conducted in,0
nm_2012_HB270,wv_2014_HB2013,7618,42,743,44,745,8,STATE EMPLOYEE & TEACHER RETIREMENT CHANGES,Preventing a reduction in the annuity of a person who retires with disability retirement at age sixty-five,percent of,percent of,0
mn_2009-2010_HF59,nc_2011_HB218,833,191,121,199,129,10,Environmental Justice Act established.,Legislative Task Force on Childhood Obesity.,the environmental justice task force,"the study, the task force",0
va_2013_HB2246,tn_108_SB1145,582,12,245,50,286,19,"Health benefit exchange; regulation of navigators, report.","Insurance, Health, Accident - As enacted, prohibits navigators for exchanges under the Affordable Care Act from selling, soliciting, or negotiating any policy of insurance, either within or outside of an exchange. - Amends TCA Title 56, Chapter 6.",the activities of navigators in the,the regulation of navigators in the,0
va_2014_HB503,tn_107_HB3870,6723,40,3519,47,3528,17,Charter; Town of Victoria.,"Atoka - As introduced, subject to local approval, revises the town charter. - Amends Chapter 373 of the Private Acts of 1911; as amended.",the mayor of the town may serve as,the boundaries of the town shall be as,0
wi_2009 Regular Session_AB922,me_127_LD180,461,58,1174,67,1183,24,prohibiting the use of corporal punishment in private schools that participate in the Milwaukee Parental Choice Program.,An Act To Allow Terminally Ill Patients To Choose To Use Experimental Treatments,the people of the state of,the people of the state of,0
nj_216_A3184,mi_2011-2012_HB4761,1966,172,983,177,988,18,"Establishes notification, signage, and monitoring requirements related to combined sewer overflows.",Villages; home rule; minimum staffing requirements for village employees; prohibit. Amends sec. 26 of 1909 PA 278 (MCL 78.26).,of the state of new jersey:,of the state of michigan enact:,0
tn_109_HB128,sc_2013-2014_H3537,265,1,519,3,521,8,"State Government - As introduced, removes conviction-related questions on job applications for employment with certain state agencies and political subdivisions. - Amends TCA Title 4, Chapter 21 and Title 50.","A BILL TO AMEND SECTION 15-78-100, CODE OF LAWS OF SOUTH CAROLINA, 1976, RELATING TO WHEN AND WHERE TO COMMENCE AN ACTION AND THE REQUIREMENT OF A SPECIAL VERDICT TO SPECIFY PROPORTIONATE LIABILITY UPON MULTIPLE DEFENDANTS, SO AS TO PROVIDE THAT CERTAIN CAUSES OF ACTION MUST BE FILED IN MAGISTRATES COURT; TO AMEND SECTION 15-78-120, RELATING TO LIMITATIONS ON LIABILITY, THE PROHIBITION AGAINST THE RECOVERY OF PUNITIVE OR EXEMPLARY DAMAGES OR PREJUDGMENT INTEREST, AND AN ATTORNEY'S SIGNATURE ON PLEADINGS, MOTIONS, OR OTHER PAPERS, SO AS TO PROVIDE THAT A STATE AGENCY OR POLITICAL SUBDIVISION MAY BE REPRESENTED BY A DEPARTMENT MANAGER, STAFF PERSON, OR ANOTHER OFFICIAL IN CERTAIN ACTIONS; AND TO AMEND SECTION 22-3-20, RELATING TO THE JURISDICTION OF THE MAGISTRATES COURT IN A CIVIL ACTION, SO AS TO INCREASE THE JURISDICTION FOR CERTAIN CLAIMS BROUGHT PURSUANT TO THE TORT CLAIMS ACT.",this act,this act,0
va_2014_HB503,tn_108_SB2645,6723,57,2298,65,2306,20,Charter; Town of Victoria.,"Ashland City - As introduced, subject to local approval, rewrites the city charter. - Amends Chapter 121 of the Private Acts of 2004; as amended.",appointed by the council or,appointed by the council or,0
nv_75_AB486,nj_216_A308,4143,0,30,1,31,5,Makes various changes to provisions relating to mortgage lending. (BDR 54-230),Prohibits escrow agent evaluation services from charging escrow agents fees.,"to 16, inclusive, of this",to practice law in this,0
pa_2013-2014_HB2537,tn_109_SB371,1253,69,1599,72,1602,4,"An Act amending the act of July 17, 1961 (P.L.776, No.341), known as the Pennsylvania Fair Educational Opportunities Act, further providing for findings and declaration of policy, for unfair educational practices, for powers and duties of the commission and for construction.","Human Rights - As introduced, adds sexual orientation and gender identity or expression to the list of characteristics protected from discrimination or harassment in employment, public accommodations, housing, financing, insurance, education, in places where alcoholic beverages are consumed, real estate, public utilities, tax exemptions, the profession of healing arts, health facilities, and welfare in the state. - Amends TCA Title 4; Title 8; Title 12; Title 39; Title 49; Title 50; Title 56; Title 57; Title 62; Title 63; Title 65; Title 67; Title 68 and Title 71.",,,0
tx_82_SB1826,mo_2012_SB764,460,1,1437,2,1438,4,"Relating to the definition in the open meetings law of the term ""deliberation.""",Modifies provisons regarding the Sunshine Law,2,2,0
ok_2011-2012_SB917,ga_2013_14_HB701,2394,19,1253,25,1259,22.5,Support payments; prohibiting inclusion of certain benefits as income for specified purpose. Noncodification. Effective date.,Child Support Recovery Act; child support and enforcement of orders; enact provisions,of the senate and banz - of the house,of the senate and the speaker of the house,0
tn_107_SB55,tx_81_HB1814,273,185,114,191,121,9.5,"Annexation - As enacted, requires municipality to notify affected property owners by mail of proposed extension of corporate limits under certain circumstances and requires publication in newspaper. - Amends TCA Title 6, Chapter 51 and Title 6, Chapter 58, Part 1.",Relating to the ballot language for junior college district annexation elections.,"this act shall take effect july 1,","this act takes - effect september 1,",0
ok_2011-2012_SB917,ky_2014RS_SB190,2394,29,6,39,17,78,Support payments; prohibiting inclusion of certain benefits as income for specified purpose. Noncodification. Effective date.,AN ACT relating to child support. Create a new section of KRS Chapter 403 to establish conditions for adjusting the presumptive child support award under the child support guidelines table on the basis of a shared parenting order for physical custody of a child; exempt children receiving public assistance; amend KRS 403.212 to establish new amounts in the child support guidelines table and delete the old amounts.,"or in-kind remuneration received by a parent in the course of employment, - or operation of a trade or - - - - - - - - - - - business, shall be counted as income if they significantly - - reduce personal living expenses.. such","or in-kind payments received by a parent in the course of employment, self-employment, or operation of a business or personal use of business property or payments of expenses by a business, shall be counted as income if they are significant and reduce personal living expenses such",1
tn_109_SB1295,mo_2013_HB36,2822,15,321,30,336,12,"General Assembly - As introduced, reestablishes the legislative oversight committees on TennCare and on children's services. - Amends TCA Title 3; Title 4 and Title 71.",Requires the Amber Alert System Oversight Committee to adopt criteria to expand the Amber Alert System to provide peace officer safety alerts,an act to,an act to,0
va_2013_HB2246,wi_2013 Regular Session_AB514,582,10,432,15,437,6,"Health benefit exchange; regulation of navigators, report.","requiring legislation for agencies to take an action to, request federal moneys to, and use state moneys to assist the federal government to create or implement a health benefit exchange.",a particular individual or,a district attorney or,0
nc_2011_HB445,ok_2015-2016_HB2153,505,12,113,17,118,122,Prevent REAL ID Implementation.,Driver licenses; directing the Department of Public Safety to include certain exemption provision on driver license and identification card applications; repealer; effective date.,"voice data used for comparing live speech with a previously created speech model of - - - a person's voice. c. iris recognition data containing color or texture patterns or codes. d. retinal scans, reading through the pupil to measure blood vessels lining the","voice data used for comparing live speech with a previously created speech model of the voice of a person; or codes; iris recognition data containing color or texture patterns - - - retinal scans, reading through the pupil to measure blood vessels lining the",1
or_2015 Regular Session_HB2087,me_125_HP1065,3742,100,1311,110,1321,99.5,Relating to economic development subsidies.,An Act To Create Transparency and Accountability in Economic Development Subsidies,access at all reasonable times to the project site and the records of the recipient employer without prior notice in order to monitor the project site and verify the content of the disclosure reports provided under subsection (1) of this section. (5) a recipient employer that fails to provide the granting body access to the project site at a reasonable time shall be - - - subject to a fine of,"access at all reasonable times to the project site and the records of the recipient corporation - - - in order to monitor the project site and to prepare progress reports. 5. penalty. - - - - - - - - a recipient corporation that fails to provide the granting body with - the information or access required under subsections 1, 2 and 4 is subject to a fine of",1
ny_2013-2014_S5606,ms_2014_SB2733,1324,737,166,754,186,20,Relates to limits on certain supplementary insurance,Uninsured motorist coverage; rejection of coverage shall be binding upon all insured persons.,this act shall take effect,this act shall take effect,0
va_2012_HB628,fl_2015_SB894,348,6,5281,12,5287,14,Voter registration; applicant to provide political party affiliation when registering to vote.,Absentee Voting,the state board shall provide the,the canvassing board shall compare the,0
ok_2011-2012_HB2543,nj_214_A4180,1428,0,479,3,482,12,Schools; requiring affidavit by parents; effective date.,Raises age requirement of compulsory school attendance from 16 to 18 years old.,this act shall,this act shall,0
va_2014_HB503,ga_2011_12_HB582,6723,34,1846,47,1860,28,Charter; Town of Victoria.,"Parrott, Town of; provide new charter",all acts or parts of acts in conflict with this charter are,all laws and parts of laws in conflict with this act are,0
nj_214_A2385,il_95th_HB948,1289,12,2352,17,2357,26,"""State Medicare Part D Assistance and Information Act.""",IL CARES RX-COVERED RX DRUGS,the medicare part d prescription drug benefit to which,the medicare part d prescription drug plan in which,1
va_2014_HB503,nc_2011_HB290,6723,116,335,121,340,16,Charter; Town of Victoria.,Marshville Charter Consolidation.,the town council shall,the town council shall,0
ia_2013-2014_HF2244,il_97th_HB3312,3313,17,605,550,1207,821.5,A bill for an act providing for the establishment of a community practitioner preparation initiative within the department of education.,GROW YOUR OWN TEACHER-SPEC ED,"shall award grants under the initiative in such a way as to provide the required support for a cohort of teacher education candidates. - - - - - - - - - - - program budgets must show expenditures and needed funds for the entire period that teacher education candidates are expected to be enrolled in the program. 3. no funds under the initiative may be used to supplant state or federal educational assistance that a teacher - education candidate is qualified to receive. 4. if necessary, a program budget may include the costs of child care and other indirect expenses such as transportation, tutoring, technology, and technology support, necessary to permit teacher education candidates to maintain their class - - - - - - - - - - - - - - - - schedules. grant funds may be used by any member of a consortium to offset such costs, and the services may be provided by the community organization or organizations, by any other member of the consortium, or by independent contractors. 5. an eligible postsecondary institution member of a consortium may expend grant funds to cover the additional costs of offering classes in community settings and for tutoring services. 6. a community organization member of a consortium may receive a portion of the grant money for the expenses of recruitment, community orientation, or counseling of potential candidates, for providing space in the community, or for working with school personnel to facilitate individual work experiences and support of teacher education candidates. 7. a school district or a collective bargaining unit representing the licensed employees of the school district which is a member of a consortium, or both, may receive a portion of the grant money for expenses of supporting the work experiences of teacher education candidates and providing mentors for graduates of the program. a school district member of a consortium - - - may also use grant moneys or other applicable moneys received under chapter 257 to pay participants in programs under the initiative for student teaching required by a practitioner - preparation program. 8. one or more members of the consortium may expend funds to cover the salary of a site=based cohort coordinator. 9. grant funds may also be expended to pay directly for required developmental classes for teacher education candidates beginning a program.","shall award grants under the initiative in such a way as to provide the required support for a cohort of candidates for any fiscal year in which an appropriation for the initiative is made. program budgets must show expenditures and needed funds for the entire period that - - candidates are expected to be enrolled. (c) - - - no funds under the initiative may be used to supplant the average per-capita expenditures by the institution of higher education for candidates. (d) where - - - necessary, - program budgets shall include the costs of child care and other indirect expenses, such as transportation, tutoring, technology, and technology support, necessary to permit - - candidates to maintain their class hb3312- 12 -lrb097 08820 nht 48950 b hb3312 - 12 - lrb097 08820 nht 48950 b schedules. grant funds may be used by any member of a consortium to offset such costs, and the services may be provided by the community organization or organizations, by any other member of the consortium, or by independent contractors. (e) the - - institution - of higher education may expend grant funds to cover the additional costs of offering classes in community settings and for tutoring services. (f) the community organization or organizations - - may receive a portion of the grant money for the expenses of recruitment, community orientation, and counseling of potential candidates, for providing space in the community, and for working with school personnel to facilitate individual work experiences and support of - - candidates. (g) the school district or - - - - - - - - - - school employee union - - - - - - or both may receive a portion of the grant money for expenses of supporting the work experiences of - - candidates and providing mentors for graduates. notwithstanding the provisions of section 10-20.15 - of the school code, school districts may also use these - or other applicable public funds - - - to pay participants in programs under the initiative for student teaching required by an accredited teacher preparation program. (h) one or more members of the consortium may expend funds to cover the salary of a site-based cohort coordinator. (i) grant funds may also be expended to pay directly for required developmental classes for - - candidates beginning a program.",1
mi_2013-2014_HB4533,nj_214_S3016,362,168,163,175,170,18,Vehicles; fund-raising registration plates; distribution of funds from sale of fund-raising registration plate for girl scouts of America; provide for. Amends secs. 3 & 4 of 2010 PA 347 (MCL 206.923 & 206.924).,Provides for voluntary contributions by taxpayers on gross income tax returns to support the Girl Scouts councils in New Jersey.,the fund. (4) the state treasurer shall,the treasury. the state treasurer shall,0
ms_2009_SB2108,mn_2013-2014_SF1091,345,1,118,4,121,7,All-terrain vehicles; require competency training and helmets under a certain age.,All-terrain vehicles (ATV) provisions modifications,this act shall,this subdivision shall,0
nc_2011_HB445,ms_2008_HB302,505,71,975,80,984,22,Prevent REAL ID Implementation.,REAL ID Act; prohibit compliance until certain assurances made.,an act to prevent the adoption of the,an act to direct the governor of the,0
ky_2011 Regular Session_HB288,nh_2012_SB153,3770,4,5329,8,5333,16,"AN ACT relating to real estate appraisal management companies. Create new sections of KRS Chapter 324A to define terms related to real estate appraisal management companies; require registration of real estate appraisal management companies with the board and provide qualifications and limitations on registration; require board to establish a reasonable filing fee in administrative regulation; specify the inclusion of the annual national registry fee required under federal law and maintained by the Appraisal Subcommittee of the Federal Financial Institutions Examination Council; require surety bond not to exceed $500,000; require registrants and persons owning 10% or more of the registrant to submit to a national criminal history check through the Federal Bureau of Investigation; provide requirements for registered companies and their employees, directors, officers, and agents; require executive director of the board to maintain a register of all applicants; grant board the authority to penalize registrants for specified offenses; exempt specified parties from provisions of the Act; specify that the Act shall be known as the Kentucky Appraisal Management Company Registration Act.",relative to the regulation of real estate appraisers by the New Hampshire real estate appraiser board.,be known as the,be known as the,0
va_2014_HB503,de_147_HB377,6723,8,8461,18,8471,23,Charter; Town of Victoria.,AN ACT TO REINCORPORATE THE TOWN OF TOWNSEND.,"the council shall, by a majority vote of the members",the council - by a majority - of the members,0
in_2015_SB4,wy_2013_HB113,33760,54,1110,58,1114,15,A BILL FOR AN ACT to amend the Indiana Code concerning general provisions,Regulatory review and rescission.,after the publication of the,after the date of the,0
nm_2012_SB371,la_2010_HB1361,5921,8,239,12,243,8,STATE ETHICS COMMISSION ACT,Provides with respect to the La. Sentencing Commission,of this,of this,0
in_2015_SB4,pa_2011-2012_HB548,33760,38,321,44,327,11,A BILL FOR AN ACT to amend the Indiana Code concerning general provisions,"An Act amending Title 62 (Procurement) of the Pennsylvania Consolidated Statutes, providing for cost-benefit analysis; and further providing for powers and duties.",is approved by the,is completed by the,0
ky_2011 Regular Session_HB288,or_2013 Regular Session_HB2061,3770,9,86,12,89,12,"AN ACT relating to real estate appraisal management companies. Create new sections of KRS Chapter 324A to define terms related to real estate appraisal management companies; require registration of real estate appraisal management companies with the board and provide qualifications and limitations on registration; require board to establish a reasonable filing fee in administrative regulation; specify the inclusion of the annual national registry fee required under federal law and maintained by the Appraisal Subcommittee of the Federal Financial Institutions Examination Council; require surety bond not to exceed $500,000; require registrants and persons owning 10% or more of the registrant to submit to a national criminal history check through the Federal Bureau of Investigation; provide requirements for registered companies and their employees, directors, officers, and agents; require executive director of the board to maintain a register of all applicants; grant board the authority to penalize registrants for specified offenses; exempt specified parties from provisions of the Act; specify that the Act shall be known as the Kentucky Appraisal Management Company Registration Act.",Reduces amount of time that appraisal management company has to make payment to independent contractor appraiser for completion of appraisal or appraisal review assignment.,appraisal management company,appraisal management company,1
va_2013_HB2246,tn_108_HB1723,582,3,38,4,39,8,"Health benefit exchange; regulation of navigators, report.","TennCare - As introduced, with respect to the Medicaid program, authorizes the department of finance and administration to implement the Patient Protection and Affordable Care Act to the full extent permitted so long as the federal matching rate for the expansion population remains at 100 percent. - Amends TCA Title 4 and Title 71.",under this,under this,0
in_2015_SB4,pa_2013-2014_HB243,33760,55,77,59,81,8,A BILL FOR AN ACT to amend the Indiana Code concerning general provisions,"An Act amending Title 62 (Procurement) of the Pennsylvania Consolidated Statutes, in general provisions, providing for cost-benefit analysis; and, in procurement organization, further providing for powers and duties of Department of General Services.",is amended,is amended,0
ky_2011 Regular Session_HB288,mo_2012_HB1103,3770,213,10615,386,10823,84.5,"AN ACT relating to real estate appraisal management companies. Create new sections of KRS Chapter 324A to define terms related to real estate appraisal management companies; require registration of real estate appraisal management companies with the board and provide qualifications and limitations on registration; require board to establish a reasonable filing fee in administrative regulation; specify the inclusion of the annual national registry fee required under federal law and maintained by the Appraisal Subcommittee of the Federal Financial Institutions Examination Council; require surety bond not to exceed $500,000; require registrants and persons owning 10% or more of the registrant to submit to a national criminal history check through the Federal Bureau of Investigation; provide requirements for registered companies and their employees, directors, officers, and agents; require executive director of the board to maintain a register of all applicants; grant board the authority to penalize registrants for specified offenses; exempt specified parties from provisions of the Act; specify that the Act shall be known as the Kentucky Appraisal Management Company Registration Act.",Changes the laws regarding the maintenance of private roads and real estate appraisers and appraisal management companies,"for a fee or other consideration, develops and communicates a real estate appraisal or otherwise gives an opinion of the value of real estate or any interest",for a fee or valuable consideration develops and communicates - real estate appraisals or otherwise gives an opinion of the value of real estate or any interest,1
ak_28_SB192,tx_81_HB4433,2770,256,96,261,102,15.5,"""An Act relating to the minimum production tax on oil and gas; and relating to the tax credit applicable to each barrel of certain oil produced north of 68 degrees North latitude.""",Relating to an exemption from oil and gas severance taxes for oil and gas produced in association with the production of geothermal energy.,for oil - and gas produced,for oil and gas produced,1
in_2015_SB4,ca_20132014_SB673,33760,116,29,121,34,14,A BILL FOR AN ACT to amend the Indiana Code concerning general provisions,County employees' retirement: Contra Costa County.,the books and records of the,the construction and operation of the,0
ca_20092010_SB629,tx_83_SB1281,631,21,7763,26,7768,19,"An act to add Section 3260.3 to the Civil Code, relating to works of improvement.","Relating to mechanic's, contractor's, or materialman's liens.",the people of the state of,the legislature of the state of,0
tn_109_HB128,oh_129_HB549,265,0,0,1,1,4,"State Government - As introduced, removes conviction-related questions on job applications for employment with certain state agencies and political subdivisions. - Amends TCA Title 4, Chapter 21 and Title 50.",Governor-Ohioan killed in combat-official notice/lower flags,,,0
ma_187th_H3086,il_97th_HB1820,296,138,437,143,442,222,An Act relative to safe driving in school speed zones,TRANSPORTATION-TECH,"a person, regardless of age, may not use a wireless - telephone at any time while operating a motor vehicle on a roadway in a school speed zone. - - - - - - - - - - - - - - - - - - - this - - does not apply to - - - - - - - - - - - - - - - - - - - - - - - - - - a person using a wireless telephone for emergency purposes, including, but not limited to, law enforcement agency, health care provider, fire department, or other emergency services agency or entity, of a law enforcement officer or operator of an emergency vehicle when performing the officer's or operator's official","a person, regardless of age, may not use a wireless telephone at any time while operating a motor vehicle on a roadway in a school speed zone established under section 11-605, or on a highway in a construction or maintenance speed zone established under section 11-605.1. this subsection (e) does not apply to (i) a person engaged in a highway construction or maintenance project for which a construction or maintenance speed zone has been established under section 11-605.1, (ii) a person using a wireless telephone for emergency purposes, including, but not limited to, law enforcement agency, health care provider, fire department, or other emergency services agency or entity, (iii) a law enforcement officer or operator of an emergency vehicle when performing the officer's or operator's official",1
ok_2011-2012_HB2543,ky_2012RS_SB52,1428,48,7,58,18,35,Schools; requiring affidavit by parents; effective date.,"AN ACT relating to compulsory school age. Amend KRS 159.010 to provide that effective July 1, 2016, compulsory school attendance shall be between the ages of six and seventeen; provide that effective July 1, 2017, compulsory school attendance shall be between the ages of six and eighteen; until July 1, 2017, permit parents to withdraw from school a child under the age of eighteen, under certain conditions; amend KRS 159.020 to conform.","is amended to read as follows: section 10-105. a. it shall be unlawful for a parent, guardian, or other person having - custody of a - child who is over the","is amended to read as follows: any - - - - - - - - parent, guardian, or other person having in custody or charge any child who has entered the",1
ri_2014_SB2791,in_2013_HB1302,1493,15,121,17,123,4,AN ACT RELATING TO EDUCATION - AVERAGE DAILY MEMBERSHIP - SCHOOL POPULATION (Requires the prioritizing of state aid for the funding of full-day kindergarten programs. The commissioner of elementary and secondary education would rank all eligible school districts to ensure the quality and sustainability of each program.),"Age for mandatory school attendance. Beginning with the 2013-2014 school year, requires a student to enroll in a kindergarten program that is at least a half-day program not later than the fall term of the school year in which the student becomes five years of age. Makes conforming changes.",a,a,0
ny_2013-2014_S7651,wa_2015-2016_SB5727,3408,844,999,864,1021,20,Establishes protocols for assisted outpatient treatment for substance abusers,Concerning extreme risk protective orders.,under this section shall be,under this section shall be,0
ok_2011-2012_SB917,ky_2013RS_HB169,2394,803,992,835,1038,24,Support payments; prohibiting inclusion of certain benefits as income for specified purpose. Noncodification. Effective date.,AN ACT relating to child support. Create a new section of KRS Chapter 403 to establish conditions for adjusting the presumptive child support award under the child support guidelines table on the basis of a shared parenting order for physical custody of a child; exempt children receiving public assistance; amend KRS 403.212 to establish new amounts in the child support guidelines table and delete the old amounts.,is amended to read as follows:,is amended to read as follows:,0
md_2011_HB219,ms_2011_HB1366,4149,7,37118,12,37123,20,"Residential Property - Condominium Unit Owners or Lot Owners - Provision of
 Disclosure Documents",Uniform laws; enact Uniform Common Interest Ownership Act.,this act shall take effect,this act shall take effect,0
in_2015_SB4,mt_2011_SB370,33760,56,138,59,141,15,A BILL FOR AN ACT to amend the Indiana Code concerning general provisions,Require cost-benefit analysis of mandated health insurance coverage of service,the rule's adoption. (2) a statement of the number of,the original bill. (4) a majority of the members of,0
